CMS Certification Number (CCN),Facility Name,Address Line 1,Address Line 2,City,State,Zip Code,County Name,Phone Number,CMS Region,Measure Code,Score,Footnote,Start Date,End Date,Location 1
250027,WINSTON MEDICAL CENTER & SWINGBED,17550 EAST MAIN STREET,,LOUISVILLE,MS,39339,WINSTON,(662) 779-5124,4,S_002_01_DENOMINATOR,Not Available,10,07/01/2018,06/30/2019,"17550 EAST MAIN STREET LOUISVILLE, MS 39339 (33.124291, -89.036671)"
390199,PUNXSUTAWNEY AREA HOSPITAL,81 HILLCREST DRIVE,,PUNXSUTAWNEY,PA,15767,JEFFERSON,(814) 938-1800,3,S_013_01_NUMERATOR,0,,07/01/2018,06/30/2019,"81 HILLCREST DRIVE PUNXSUTAWNEY, PA 15767 (40.960153, -79.000359)"
370183,HILLCREST HOSPITAL HENRYETTA,2401 W MAIN,,HENRYETTA,OK,74437,OKMULGEE,(918) 650-1511,6,S_004_01_PPR_PD_OBS_READM,Not Available,9,10/01/2016,09/30/2018,"2401 W MAIN HENRYETTA, OK 74437 (35.439738, -96.015496)"
180149,T J HEALTH COLUMBIA,901 WESTLAKE DRIVE,,COLUMBIA,KY,42728,ADAIR,(270) 384-4753,4,S_006_01_MSPB_NUMB,0,,10/01/2016,09/30/2018,"901 WESTLAKE DRIVE COLUMBIA, KY 42728 (37.096289, -85.29494)"
450108,CONNALLY MEMORIAL MEDICAL CENTER,499 10TH STREET,,FLORESVILLE,TX,78114,WILSON,(830) 393-1300,6,S_002_01_ADJ_RATE,Not Available,"9,13",07/01/2018,06/30/2019,"499 10TH STREET FLORESVILLE, TX 78114 (29.159429, -98.173205)"
170009,SAINT JOHN HOSPITAL,3500 SOUTH 4TH STREET,,LEAVENWORTH,KS,66048,LEAVENWORTH,(913) 680-6000,7,S_013_01_NUMERATOR,0,13,07/01/2018,06/30/2019,"3500 SOUTH 4TH STREET LEAVENWORTH, KS 66048 (39.283683, -94.903472)"
450565,PALO PINTO GENERAL HOSPITAL,400 SOUTHWEST 25 AVE,,MINERAL WELLS,TX,76067,PALO PINTO,(940) 325-7891,6,S_004_01_PPR_PD_RSRR_2_5,5.24,,10/01/2016,09/30/2018,"400 SOUTHWEST 25 AVE MINERAL WELLS, TX 76067 (32.799552, -98.145406)"
040039,ARKANSAS METHODIST MEDICAL CENTER,900 WEST KINGSHIGHWAY,,PARAGOULD,AR,72450,GREENE,(870) 239-7000,6,S_002_01_OBS_RATE,1.3,,07/01/2018,06/30/2019,"900 WEST KINGSHIGHWAY PARAGOULD, AR 72450 (36.052593, -90.499051)"
260074,MOBERLY REGIONAL MEDICAL CENTER,1515 UNION AVE,,MOBERLY,MO,65270,RANDOLPH,(660) 263-8400,7,S_004_01_PPR_PD_RSRR,7.40,,10/01/2016,09/30/2018,"1515 UNION AVE MOBERLY, MO 65270 (39.423879, -92.414216)"
390117,UPMC BEDFORD MEMORIAL,10455 LINCOLN HIGHWAY,,EVERETT,PA,15537,BEDFORD,(814) 623-6161,3,S_002_01_ADJ_RATE,Not Available,10,07/01/2018,06/30/2019,"10455 LINCOLN HIGHWAY EVERETT, PA 15537 (40.024721, -78.433255)"
450165,METHODIST HOSPITAL SOUTH,1905 HWY 97 EAST,,JOURDANTON,TX,78026,ATASCOSA,(830) 769-3515,6,S_004_01_PPR_PD_RSRR_2_5,Not Available,9,10/01/2016,09/30/2018,
180080,BAPTIST HEALTH CORBIN,ONE TRILLIUM WAY,,CORBIN,KY,40701,KNOX,(606) 528-1212,4,S_004_01_PPR_PD_OBS,8.86,,10/01/2016,09/30/2018,
340187,DAVIE MEDICAL CENTER,223 HOSPITAL STREET,,MOCKSVILLE,NC,27028,DAVIE,(336) 751-8100,4,S_004_01_PPR_PD_RSRR_97_5,Not Available,9,10/01/2016,09/30/2018,"223 HOSPITAL STREET MOCKSVILLE, NC 27028 (35.90001, -80.570097)"
110071,APPLING HOSPITAL,163 E TOLLISON STREET,,BAXLEY,GA,31513,APPLING,(912) 367-9841,4,S_006_01_MSPB_SCORE,0.80,,10/01/2016,09/30/2018,"163 E TOLLISON STREET BAXLEY, GA 31513 (31.768768, -82.349351)"
100121,BARTOW REGIONAL MEDICAL CENTER,2200 OSPREY BLVD,,BARTOW,FL,33831,POLK,(863) 533-8111,4,S_004_01_PPR_PD_COMP_PERF,Not Available,1,10/01/2016,09/30/2018,"2200 OSPREY BLVD BARTOW, FL 33831 (27.919146, -81.846254)"
142006,THC CHICAGO INC DBA KINDRED HOSP,225 EDWARD STREET,,SYCAMORE,IL,60178,DEKALB,(815) 895-2144,5,S_002_01_DENOMINATOR,Not Available,10,07/01/2018,06/30/2019,"225 EDWARD STREET SYCAMORE, IL 60178 (41.982633, -88.688613)"
360089,MERCY HEALTH - TIFFIN HOSPITAL,45 ST LAWRENCE DRIVE,,TIFFIN,OH,44883,SENECA,(419) 455-7000,5,S_002_01_OBS_RATE,Not Available,10,07/01/2018,06/30/2019,"45 ST LAWRENCE DRIVE TIFFIN, OH 44883 (41.105138, -83.217094)"
390056,PENN HIGHLANDS HUNTINDON,1225 WARM SPRINGS AVE,,HUNTINGDON,PA,16652,HUNTINGDON,(814) 643-2290,3,S_002_01_DENOMINATOR,49,,07/01/2018,06/30/2019,"1225 WARM SPRINGS AVE HUNTINGDON, PA 16652 (40.493656, -78.013908)"
360107,BELLEVUE HOSPITAL,1400 WEST MAIN STREET,,BELLEVUE,OH,44811,SANDUSKY,(419) 483-4040,5,S_006_01_MSPB_SCORE,Not Available,9,10/01/2016,09/30/2018,"1400 WEST MAIN STREET BELLEVUE, OH 44811 (41.28508, -82.882559)"
440032,HAWKINS COUNTY MEMORIAL HOSPITAL,851 LOCUST STREET,,ROGERSVILLE,TN,37857,HAWKINS,(423) 921-7000,4,S_013_01_OBS_RATE,Not Available,9,07/01/2018,06/30/2019,"851 LOCUST STREET ROGERSVILLE, TN 37857 (36.399736, -83.012943)"
190053,JENNINGS AMERICAN LEGION HOSPITAL,1634 ELTON ROAD,,JENNINGS,LA,70546,JEFFERSON DAVIS,(337) 616-7000,6,S_004_01_PPR_PD_RSRR_2_5,5.72,,10/01/2016,09/30/2018,"1634 ELTON ROAD JENNINGS, LA 70546 (30.239215, -92.663445)"
393039,ENCOMPASS HEALTH REHABILITATION HOSPITAL OF NITTAN,550 WEST COLLEGE AVENUE,,PLEASANT GAP,PA,16823,CENTRE,(814) 359-3421,3,S_004_01_PPR_PD_RSRR_2_5,Not Available,1,10/01/2016,09/30/2018,"550 WEST COLLEGE AVENUE PLEASANT GAP, PA 16823 (40.860513, -77.757992)"
110002,UPSON REGIONAL MEDICAL CENTER,801 W GORDON STREET,,THOMASTON,GA,30286,UPSON,(706) 647-8111,4,S_005_01_DTC_VOLUME,0,,10/01/2016,09/30/2018,"801 W GORDON STREET THOMASTON, GA 30286 (32.887252, -84.336109)"
260057,CAMERON REGIONAL MEDICAL CENTER,1600 E EVERGREEN,,CAMERON,MO,64429,CLINTON,(816) 632-2101,7,S_006_01_MSPB_NUMB,415,,10/01/2016,09/30/2018,"1600 E EVERGREEN CAMERON, MO 64429 (39.731504, -94.218308)"
102020,SELECT SPECIALTY HOSPITAL - TALLAHASSEE,1554 SURGEONS DR,,TALLAHASSEE,FL,32308,LEON,(850) 219-6800,4,S_001_01_DENOMINATOR,Not Available,10,07/01/2018,06/30/2019,"1554 SURGEONS DR TALLAHASSEE, FL 32308 (30.459786, -84.255223)"
320063,CARLSBAD MEDICAL CENTER,2430 WEST PIERCE STREET,,CARLSBAD,NM,88220,EDDY,(575) 887-4570,6,S_001_01_NUMERATOR,Not Available,"9,13",07/01/2018,06/30/2019,"2430 WEST PIERCE STREET CARLSBAD, NM 88220 (32.44184, -104.258642)"
450475,UT HEALTH EAST TEXAS HENDERSON HOSPITAL,300 WILSON STREET,,HENDERSON,TX,75652,RUSK,(903) 657-7541,6,S_005_01_DTC_RS_RATE,Not Available,9,10/01/2016,09/30/2018,"300 WILSON STREET HENDERSON, TX 75652 (32.161614, -94.796433)"
170075,"MERCY HOSPITAL, INC",218 E PACK STREET,,MOUNDRIDGE,KS,67107,MCPHERSON,(620) 345-6391,7,S_004_01_PPR_PD_RSRR,7.06,,10/01/2016,09/30/2018,"218 E PACK STREET MOUNDRIDGE, KS 67107 (38.205072, -97.516996)"
040072,BAPTIST HEALTH MEDICAL CENTER-STUTTGART,1703 NORTH BUERKLE ST,,STUTTGART,AR,72160,ARKANSAS,(870) 673-3511,6,S_001_01_NUMERATOR,28,,07/01/2018,06/30/2019,"1703 NORTH BUERKLE ST STUTTGART, AR 72160 (34.517773, -91.557572)"
390220,JENNERSVILLE HOSPITAL,1015 WEST BALTIMORE PIKE,,WEST GROVE,PA,19390,CHESTER,(610) 869-1000,3,S_005_01_DTC_NUMBER,Not Available,1,10/01/2016,09/30/2018,"1015 WEST BALTIMORE PIKE WEST GROVE, PA 19390 (39.822744, -75.887918)"
670004,ST MARKS MEDICAL CENTER,ONE ST MARK'S PLACE,,LA GRANGE,TX,78945,FAYETTE,(979) 242-2200,6,S_005_01_DTC_RS_RATE_2_5,62.53,,10/01/2016,09/30/2018,
010069,MEDICAL CENTER BARBOUR,820 W WASHINGTON ST,,EUFAULA,AL,36027,BARBOUR,(334) 688-7271,4,S_004_01_PPR_PD_OBS,8.96,,10/01/2016,09/30/2018,"820 W WASHINGTON ST EUFAULA, AL 36027 (31.88798, -85.156613)"
320033,LOS ALAMOS MEDICAL CENTER,3917 WEST ROAD,,LOS ALAMOS,NM,87544,LOS ALAMOS,(505) 662-4201,6,S_013_01_NUMERATOR,Not Available,10,07/01/2018,06/30/2019,"3917 WEST ROAD LOS ALAMOS, NM 87544 (35.882165, -106.319765)"
190190,"CALDWELL MEMORIAL HOSPITAL, INC",411 MAIN STREET,,COLUMBIA,LA,71418,CALDWELL,(318) 649-6111,6,S_004_01_PPR_PD_OBS_READM,Not Available,1,10/01/2016,09/30/2018,"411 MAIN STREET COLUMBIA, LA 71418 (32.104142, -92.076155)"
450289,HARRIS HEALTH SYSTEM,2525 HOLLY HALL,,HOUSTON,TX,77054,HARRIS,(713) 566-6417,6,S_005_01_DTC_COMP_PERF,Not Available,1,10/01/2016,09/30/2018,"2525 HOLLY HALL HOUSTON, TX 77054 (29.685422, -95.387094)"
440008,HENDERSON COUNTY COMMUNITY HOSPITAL,200 W CHURCH ST,,LEXINGTON,TN,38351,HENDERSON,(731) 968-1801,4,S_013_01_NUMERATOR,Not Available,10,07/01/2018,06/30/2019,"200 W CHURCH ST LEXINGTON, TN 38351 (35.654195, -88.398838)"
120006,ADVENTIST HEALTH CASTLE,640 ULUKAHIKI ST,,KAILUA,HI,96734,HONOLULU,(808) 263-5500,9,S_006_01_MSPB_NUMB,0,,10/01/2016,09/30/2018,"640 ULUKAHIKI ST KAILUA, HI 96734 (21.381502, -157.757229)"
200052,NORTHERN MAINE MEDICAL CENTER,194 E MAIN STREET,,FORT KENT,ME,04743,AROOSTOOK,(207) 834-3195,1,S_005_01_DTC_RS_RATE_2_5,65.93,,10/01/2016,09/30/2018,"194 E MAIN STREET FORT KENT, ME 04743 (47.265068, -68.591177)"
363033,HEALTHSOUTH REHABILITATION HOSPITAL OF DAYTON,ONE ELIZABETH PLACE,,DAYTON,OH,45408,MONTGOMERY,(937) 424-8200,5,S_005_01_DTC_OBS_RATE,Not Available,1,10/01/2016,09/30/2018,
320006,EASTERN NEW MEXICO MEDICAL CENTER,405 W COUNTRY CLUB ROAD,,ROSWELL,NM,88201,CHAVES,(575) 624-8722,6,S_002_01_OBS_RATE,Not Available,10,07/01/2018,06/30/2019,"405 W COUNTRY CLUB ROAD ROSWELL, NM 88201 (33.4233, -104.527405)"
362028,LIFE CARE HOSPITALS OF DAYTON,4000 MIAMISBURG-CENTERVILLE ROAD,,MIAMISBURG,OH,45342,MONTGOMERY,(937) 384-8300,5,S_002_01_DENOMINATOR,Not Available,10,07/01/2018,06/30/2019,"4000 MIAMISBURG-CENTERVILLE ROAD MIAMISBURG, OH 45342 (39.63982, -84.25126)"
460019,UINTAH BASIN MEDICAL CENTER,250 WEST 300 NORTH,,ROOSEVELT,UT,84066,DUCHESNE,(435) 722-4691,8,S_005_01_DTC_OBS_RATE,Not Available,1,10/01/2016,09/30/2018,"250 WEST 300 NORTH ROOSEVELT, UT 84066 (40.302755, -109.997086)"
360058,MERCER COUNTY JOINT TOWNSHIP COMMUNITY HOSPITAL,800 WEST MAIN STREET,,COLDWATER,OH,45828,MERCER,(419) 678-4843,5,S_005_01_DTC_VOLUME,12,,10/01/2016,09/30/2018,"800 WEST MAIN STREET COLDWATER, OH 45828 (40.479782, -84.638243)"
460007,CEDAR CITY HOSPITAL,1303 NORTH MAIN STREET,,CEDAR CITY,UT,84721,IRON,(435) 868-5800,8,S_013_01_DENOMINATOR,Not Available,10,07/01/2018,06/30/2019,"1303 NORTH MAIN STREET CEDAR CITY, UT 84721 (37.700591, -113.063985)"
450241,FAITH COMMUNITY HOSPITAL,215 CHISHOLM TRAIL,,JACKSBORO,TX,76458,JACK,(940) 567-6633,6,S_005_01_DTC_RS_RATE _97_5,Not Available,9,10/01/2016,09/30/2018,"215 CHISHOLM TRAIL JACKSBORO, TX 76458 (33.230386, -98.166732)"
190081,WEST CARROLL MEMORIAL HOSPITAL,706 ROSS STREET,,OAK GROVE,LA,71263,WEST CARROLL,(318) 428-3237,6,S_005_01_DTC_VOLUME,175,,10/01/2016,09/30/2018,"706 ROSS STREET OAK GROVE, LA 71263 (32.867813, -91.383196)"
370180,CHICKASAW NATION MEDICAL CENTER,1921 STONECIPHER BLVD,,ADA,OK,74820,PONTOTOC,(580) 436-3980,6,S_002_01_NUMERATOR,Not Available,"9,13",07/01/2018,06/30/2019,"1921 STONECIPHER BLVD ADA, OK 74820 (34.73705, -96.647075)"
390146,WARREN GENERAL HOSPITAL,TWO CRESCENT PARK WEST,,WARREN,PA,16365,WARREN,(814) 723-3300,3,S_004_01_PPR_PD_RSRR_97_5,9.55,,10/01/2016,09/30/2018,
370099,HILLCREST HOSPITAL CUSHING,1027 EAST CHERRY STREET,,CUSHING,OK,74023,PAYNE,(918) 225-2915,6,S_013_01_OBS_RATE,Not Available,"9,13",07/01/2018,06/30/2019,"1027 EAST CHERRY STREET CUSHING, OK 74023 (35.978942, -96.757473)"
210030,UMD SHORE MEDICAL CTR AT CHESTERTOWN,100 BROWN STREET,,CHESTERTOWN,MD,21620,KENT,(410) 778-7668,3,S_004_01_PPR_PD_RSRR_97_5,Not Available,1,10/01/2016,09/30/2018,"100 BROWN STREET CHESTERTOWN, MD 21620 (39.216845, -76.064492)"
450654,STARR COUNTY MEMORIAL HOSPITAL,128  N FM RD 3167,,RIO GRANDE CITY,TX,78582,STARR,(956) 487-5561,6,S_004_01_PPR_PD_VOLUME,0,,10/01/2016,09/30/2018,"128  N FM RD 3167 RIO GRANDE CITY, TX 78582 (26.37754, -98.859886)"
370139,STILLWATER MEDICAL - PERRY,501 N 14TH ST,,PERRY,OK,73077,NOBLE,(580) 336-3541,6,S_005_01_DTC_RS_RATE,61.30,,10/01/2016,09/30/2018,"501 N 14TH ST PERRY, OK 73077 (36.289083, -97.299229)"
450641,NOCONA GENERAL HOSPITAL,100 PARK ROAD,,NOCONA,TX,76255,MONTAGUE,(940) 825-3235,6,S_004_01_PPR_PD_RSRR_2_5,5.55,,10/01/2016,09/30/2018,"100 PARK ROAD NOCONA, TX 76255 (33.777559, -97.731564)"
050352,BARTON MEMORIAL HOSPITAL,2170 SOUTH AVENUE,,SOUTH LAKE TAHOE,CA,96150,EL DORADO,(530) 541-3420,9,S_004_01_PPR_PD_VOLUME,0,,10/01/2016,09/30/2018,"2170 SOUTH AVENUE SOUTH LAKE TAHOE, CA 96150 (38.912337, -119.997711)"
010109,PICKENS COUNTY MEDICAL CENTER,241 ROBERT K WILSON DRIVE,,CARROLLTON,AL,35447,PICKENS,(205) 367-8111,4,S_005_01_DTC_RS_RATE,75.48,,10/01/2016,09/30/2018,"241 ROBERT K WILSON DRIVE CARROLLTON, AL 35447 (33.274807, -88.089673)"
190050,BEAUREGARD MEMORIAL HOSPITAL,600 S PINE STREET,,DERIDDER,LA,70634,BEAUREGARD,(337) 462-7100,6,S_005_01_DTC_VOLUME,78,,10/01/2016,09/30/2018,"600 S PINE STREET DERIDDER, LA 70634 (30.84195, -93.289056)"
450144,PERMIAN REGIONAL MEDICAL CENTER ANDREWS COUNTY HO,720 HOSPITAL DRIVE,,ANDREWS,TX,79714,ANDREWS,(432) 523-2200,6,S_004_01_PPR_PD_RSRR_97_5,Not Available,9,10/01/2016,09/30/2018,"720 HOSPITAL DRIVE ANDREWS, TX 79714 (32.337424, -102.546866)"
190053,JENNINGS AMERICAN LEGION HOSPITAL,1634 ELTON ROAD,,JENNINGS,LA,70546,JEFFERSON DAVIS,(337) 616-7000,6,S_004_01_PPR_PD_COMP_PERF,No Different than the National Rate,,10/01/2016,09/30/2018,"1634 ELTON ROAD JENNINGS, LA 70546 (30.239215, -92.663445)"
260057,CAMERON REGIONAL MEDICAL CENTER,1600 E EVERGREEN,,CAMERON,MO,64429,CLINTON,(816) 632-2101,7,S_005_01_DTC_OBS_RATE,73.57,,10/01/2016,09/30/2018,"1600 E EVERGREEN CAMERON, MO 64429 (39.731504, -94.218308)"
370020,MERCY HOSPITAL ADA,430 NORTH MONTE VISTA,,ADA,OK,74820,PONTOTOC,(580) 332-2323,6,S_006_01_MSPB_NUMB,33,,10/01/2016,09/30/2018,"430 NORTH MONTE VISTA ADA, OK 74820 (34.778068, -96.634813)"
520011,MARSHFIELD MEDICAL CENTER - RICE LAKE,1700 WEST STOUT STREET,,RICE LAKE,WI,54868,BARRON,(715) 234-1515,5,S_005_01_DTC_RS_RATE_2_5,Not Available,1,10/01/2016,09/30/2018,"1700 WEST STOUT STREET RICE LAKE, WI 54868 (45.508042, -91.759027)"
010022,FLOYD CHEROKEE MEDICAL CENTER,400 NORTHWOOD DR,,CENTRE,AL,35960,CHEROKEE,(256) 927-5531,4,S_013_01_DENOMINATOR,66,13,07/01/2018,06/30/2019,"400 NORTHWOOD DR CENTRE, AL 35960 (34.162761, -85.65142)"
490126,LEWISGALE HOSPITAL ALLEGHANY,ONE ARH LANE - PO BOX 7,,LOW MOOR,VA,24457,ALLEGHANY,(540) 862-6011,3,S_005_01_DTC_RS_RATE,Not Available,1,10/01/2016,09/30/2018,
450584,WILBARGER GENERAL HOSPITAL,920 HILLCREST DR,,VERNON,TX,76384,WILBARGER,(940) 552-9351,6,S_005_01_DTC_RS_RATE_2_5,55.26,,10/01/2016,09/30/2018,"920 HILLCREST DR VERNON, TX 76384 (34.159419, -99.31333)"
250124,MAGEE GENERAL HOSPITAL,300 3RD AVE SE,,MAGEE,MS,39111,SIMPSON,(601) 849-5070,4,S_005_01_DTC_RS_RATE,68.09,,10/01/2016,09/30/2018,"300 3RD AVE SE MAGEE, MS 39111 (31.870585, -89.728389)"
370054,GRADY MEMORIAL HOSPITAL,2220 IOWA STREET,,CHICKASHA,OK,73018,GRADY,(405) 224-2300,6,S_013_01_NUMERATOR,Not Available,9,07/01/2018,06/30/2019,"2220 IOWA STREET CHICKASHA, OK 73018 (35.224509, -97.473923)"
140161,SAINT JAMES HOSPITAL,2500 WEST REYNOLDS STREET,,PONTIAC,IL,61764,LIVINGSTON,(815) 842-2828,5,S_005_01_DTC_RS_RATE _97_5,Not Available,9,10/01/2016,09/30/2018,"2500 WEST REYNOLDS STREET PONTIAC, IL 61764 (40.873402, -88.678583)"
360047,PIKE COUNTY HOSPITAL,DAWN LANE,,WAVERLY,OH,45690,PIKE,(614) 947-2186,5,S_005_01_DTC_RS_RATE,Not Available,1,10/01/2016,09/30/2018,
230110,SPECTRUM HEALTH LUDINGTON HOSPITAL,ONE N ATKINSON DRIVE,,LUDINGTON,MI,49431,MASON,(231) 843-2591,5,S_006_01_MSPB_SCORE,Not Available,1,10/01/2016,09/30/2018,
360197,MARY RUTAN HOSPITAL,205 PALMER AVENUE,,BELLEFONTAINE,OH,43311,LOGAN,(937) 599-7002,5,S_001_01_NUMERATOR,Not Available,10,07/01/2018,06/30/2019,"205 PALMER AVENUE BELLEFONTAINE, OH 43311 (40.368954, -83.756703)"
440110,FORT LOUDON MEDICAL CENTER,550 FORT LOUDON MEDICAL CENTER DR,,LENOIR CITY,TN,37772,LOUDON,(865) 271-6000,4,S_004_01_PPR_PD_OBS_READM,Not Available,1,10/01/2016,09/30/2018,"550 FORT LOUDON MEDICAL CENTER DR LENOIR CITY, TN 37772 (35.827108, -84.271752)"
010044,MARION REGIONAL MEDICAL CENTER,1256 MILITARY STREET SOUTH,,HAMILTON,AL,35570,MARION,(205) 921-6200,4,S_002_01_ADJ_RATE,1.32,,07/01/2018,06/30/2019,"1256 MILITARY STREET SOUTH HAMILTON, AL 35570 (34.125852, -87.989806)"
010128,JACKSON MEDICAL CENTER,220 HOSPITAL DRIVE,,JACKSON,AL,36545,CLARKE,(251) 246-9021,4,S_005_01_DTC_RS_RATE _97_5,71.35,,10/01/2016,09/30/2018,"220 HOSPITAL DRIVE JACKSON, AL 36545 (31.530482, -87.89318)"
190218,SABINE MEDICAL CENTER,240 HIGHLAND DRIVE,,MANY,LA,71449,SABINE,(318) 256-1232,6,S_004_01_PPR_PD_COMP_PERF,Not Available,1,10/01/2016,09/30/2018,"240 HIGHLAND DRIVE MANY, LA 71449 (31.560448, -93.470983)"
110046,"PIEDMONT WALTON HOSPITAL, INC",2151 W SPRING STREET,,MONROE,GA,30655,WALTON,(770) 267-8461,4,S_004_01_PPR_PD_RSRR_2_5,Not Available,1,10/01/2016,09/30/2018,"2151 W SPRING STREET MONROE, GA 30655 (33.798635, -83.746316)"
420057,MCLEOD MEDICAL CENTER - DARLINGTON,701 CASHUA FERRY ROAD,,DARLINGTON,SC,29540,DARLINGTON,(843) 777-1100,4,S_004_01_PPR_PD_RSRR_97_5,9.79,,10/01/2016,09/30/2018,"701 CASHUA FERRY ROAD DARLINGTON, SC 29540 (34.312988, -79.838253)"
010150,REGIONAL MEDICAL CENTER OF CENTRAL ALABAMA,29 L V STABLER DRIVE,,GREENVILLE,AL,36037,BUTLER,(334) 382-2200,4,S_004_01_PPR_PD_OBS_READM,Not Available,9,10/01/2016,09/30/2018,"29 L V STABLER DRIVE GREENVILLE, AL 36037 (31.82945, -86.64586)"
030068,MT. GRAHAM REGIONAL MEDICAL CENTER,1600 SOUTH 20TH AVENUE,,SAFFORD,AZ,85546,GRAHAM,(928) 348-4000,9,S_005_01_DTC_NUMBER,Not Available,9,10/01/2016,09/30/2018,"1600 SOUTH 20TH AVENUE SAFFORD, AZ 85546 (32.821883, -109.732994)"
192006,CORNERSTONE SPECIALTY HOSPITALS BOSSIER CITY,4900 MEDICAL DRIVE,,BOSSIER CITY,LA,71112,BOSSIER,(318) 747-9500,6,S_002_01_ADJ_RATE,Not Available,10,07/01/2018,06/30/2019,"4900 MEDICAL DRIVE BOSSIER CITY, LA 71112 (32.460624, -93.667827)"
260195,CITIZENS MEMORIAL HOSPITAL,1500 N OAKLAND,,BOLIVAR,MO,65613,POLK,(417) 326-6000,7,S_004_01_PPR_PD_RSRR,Not Available,9,10/01/2016,09/30/2018,"1500 N OAKLAND BOLIVAR, MO 65613 (37.625971, -93.420915)"
230259,ST JOSEPH MERCY CHELSEA,775 S MAIN ST,,CHELSEA,MI,48118,WASHTENAW,(734) 475-3911,5,S_013_01_NUMERATOR,Not Available,10,07/01/2018,06/30/2019,"775 S MAIN ST CHELSEA, MI 48118 (42.310594, -84.016571)"
450596,LAKE GRANBURY MEDICAL CENTER,1310 PALUXY RD,,GRANBURY,TX,76048,HOOD,(817) 573-2683,6,S_002_01_DENOMINATOR,Not Available,10,07/01/2018,06/30/2019,"1310 PALUXY RD GRANBURY, TX 76048 (32.431845, -97.802729)"
010125,LAKELAND COMMUNITY HOSPITAL,42024 HIGHWAY 195 E,,HALEYVILLE,AL,35565,WINSTON,(205) 485-7117,4,S_001_01_OBS_RATE,100.0,,07/01/2018,06/30/2019,"42024 HIGHWAY 195 E HALEYVILLE, AL 35565 (34.241718, -87.589857)"
250044,BAPTIST MEMORIAL HOSPITAL BOONEVILLE,100 HOSPITAL DRIVE,,BOONEVILLE,MS,38829,PRENTISS,(662) 720-5000,4,S_013_01_DENOMINATOR,Not Available,10,07/01/2018,06/30/2019,"100 HOSPITAL DRIVE BOONEVILLE, MS 38829 (34.656337, -88.565763)"
320070,DHHS USPHS INDIAN HEALTH SERVICES,EXIT #102 OFF I-40 1/2 MILE SOUTH,,SAN FIDEL,NM,87049,CIBOLA,(505) 552-5300,6,S_005_01_DTC_RS_RATE_2_5,Not Available,1,10/01/2016,09/30/2018,
040019,FORREST CITY MEDICAL CENTER,1601 NEWCASTLE ROAD,,FORREST CITY,AR,72335,ST. FRANCIS,(870) 261-0000,6,S_006_01_MSPB_NUMB,14,,10/01/2016,09/30/2018,"1601 NEWCASTLE ROAD FORREST CITY, AR 72335 (35.039275, -90.771894)"
390066,GOOD SAMARITAN HOSPITAL,FOURTH AND WALNUT STREETS,,LEBANON,PA,17042,LEBANON,(717) 270-7500,3,S_013_01_OBS_RATE,Not Available,10,07/01/2018,06/30/2019,"FOURTH AND WALNUT STREETS LEBANON, PA 17042 (40.146353, -77.128598)"
460054,CACHE VALLEY  HOSPITAL,2380 NORTH 400 EAST,,NORTH LOGAN,UT,84341,CACHE,(435) 713-9580,8,S_013_01_NUMERATOR,Not Available,10,07/01/2018,06/30/2019,"2380 NORTH 400 EAST NORTH LOGAN, UT 84341 (41.775714, -111.823092)"
252004,"SPECIALITY HOSPITAL OF MERIDIAN,THE",1314 19TH AVENUE,,MERIDIAN,MS,39301,LAUDERDALE,(601) 703-4211,4,S_001_01_OBS_RATE,Not Available,10,07/01/2018,06/30/2019,"1314 19TH AVENUE MERIDIAN, MS 39301 (32.370664, -88.697779)"
200018,NORTHERN LIGHT A R GOULD HOSPITAL,PO BOX 151,,PRESQUE ISLE,ME,04769,AROOSTOOK,(207) 768-4000,1,S_013_01_DENOMINATOR,105,,07/01/2018,06/30/2019,
390086,PENN HIGHLANDS DUBOIS,100 HOSPITAL AVENUE,,DUBOIS,PA,15801,CLEARFIELD,(814) 371-2200,3,S_001_01_NUMERATOR,Not Available,10,07/01/2018,06/30/2019,"100 HOSPITAL AVENUE DUBOIS, PA 15801 (41.114349, -78.775736)"
320084,ROOSEVELT GENERAL HOSPITAL,42121 US HIGHWAY 70,,PORTALES,NM,88130,ROOSEVELT,(575) 359-1800,6,S_004_01_PPR_PD_OBS,Not Available,1,10/01/2016,09/30/2018,"42121 US HIGHWAY 70 PORTALES, NM 88130 (34.165665, -103.368199)"
110002,UPSON REGIONAL MEDICAL CENTER,801 W GORDON STREET,,THOMASTON,GA,30286,UPSON,(706) 647-8111,4,S_001_01_OBS_RATE,Not Available,10,07/01/2018,06/30/2019,"801 W GORDON STREET THOMASTON, GA 30286 (32.887252, -84.336109)"
450085,GRAHAM REGIONAL MEDICAL CENTER,1301 MONTGOMERY ROAD,,GRAHAM,TX,76450,YOUNG,(940) 549-3400,6,S_005_01_DTC_NUMBER,55,,10/01/2016,09/30/2018,"1301 MONTGOMERY ROAD GRAHAM, TX 76450 (33.089973, -98.584356)"
170191,UNIVERSITY  OF KS HLTH SYSTEM GREAT BEND CAMPUS,514 CLEVELAND STREET,,GREAT BEND,KS,67530,BARTON,(620) 792-8833,7,S_004_01_PPR_PD_OBS_READM,6,,10/01/2016,09/30/2018,"514 CLEVELAND STREET GREAT BEND, KS 67530 (38.3562, -98.791619)"
